date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:23	75708/75708	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:20%20GMT	https://www.proformanceroofs.com/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/index.html	(from )
10:29:23	291/291	---M-Z	200	added ('OK')	text/plain	etag:%22c160f5cb924d61:0%22	https://www.proformanceroofs.com/robots.txt		(from )
10:29:24	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2003%20Aug%202020%2017:29:22%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/connect.facebook.net/en_US/fbevents.js	(from https://www.proformanceroofs.com/)
10:29:28	36869/36869	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Aug%202020%2017:29:22%20GMT	https://www.proformanceroofs.com/common/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/common/index.html	(from https://www.proformanceroofs.com/)
10:29:30	373498/373498	---M-Z	200	added ('OK')	text/css	etag:%2206515d64b23d61:0%22	https://www.proformanceroofs.com/cms/includes/xlyx2kfjo4f.2005051912475.css	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/xlyx2kfjo4f.2005051912475.css	(from https://www.proformanceroofs.com/)
10:29:31	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.google-analytics.com/analytics.js	(from https://www.proformanceroofs.com/)
10:29:32	69623/69623	---M--	200	added ('OK')	image/jpeg	etag:%22fc7edec7efd6d51:0%22	https://www.proformanceroofs.com/images/Social-Share.jpg	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/images/Social-Share.jpg	(from https://www.proformanceroofs.com/)
10:29:32	169/169	---M--	302	error ('Found')	text/html	date:Mon,%2003%20Aug%202020%2017:29:26%20GMT	https://www.proformanceroofs.com/admin/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/admin/index.html	(from https://www.proformanceroofs.com/)
10:29:32	639155/639155	---MCZ	200	added ('OK')	application/javascript	etag:%2278ffe7513d4ad61:0%22	https://www.proformanceroofs.com/cms/includes/xfe68wggbgd.2006240837081.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/xfe68wggbgd.2006240837081.js	(from https://www.proformanceroofs.com/)
10:29:32	49801/49801	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:29%20GMT	https://www.proformanceroofs.com/areas-served/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/index.html	(from https://www.proformanceroofs.com/)
10:29:32	31460/31460	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d6572d77428000%22	https://www.proformanceroofs.com/cms/svg/site/idso5fqviyn.24.svg	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/svg/site/idso5fqviyn.24.svg	(from https://www.proformanceroofs.com/)
10:29:32	48735/48735	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:29%20GMT	https://www.proformanceroofs.com/blog/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/index.html	(from https://www.proformanceroofs.com/)
10:29:33	7383/7383	---M--	200	added ('OK')	image/png	etag:%22ac1586e76d29d51:0%22	https://www.proformanceroofs.com/images/logos/Logo.png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/images/logos/Logo.png	(from https://www.proformanceroofs.com/)
10:29:33	39116/39116	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:30%20GMT	https://www.proformanceroofs.com/site-search/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/site-search/index.html	(from https://www.proformanceroofs.com/)
10:29:33	7215/7215	---M--	200	added ('OK')	image/png	etag:%22287788e76d29d51:0%22	https://www.proformanceroofs.com/images/logos/Logo2.png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/images/logos/Logo2.png	(from https://www.proformanceroofs.com/)
10:29:34	1113/1113	---M-Z	200	added ('OK')	application/javascript	etag:%2269f0df1cd52cddcfef097c3d27844258%22	http://connect.podium.com/widget.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/connect.podium.com/widget.js	(from https://www.proformanceroofs.com/)
10:29:34	50919/50919	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:31%20GMT	https://www.proformanceroofs.com/roofing-services/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/index.html	(from https://www.proformanceroofs.com/)
10:29:34	51433/51433	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:31%20GMT	https://www.proformanceroofs.com/roofing-services/roof-replacement/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/roof-replacement/index.html	(from https://www.proformanceroofs.com/)
10:29:34	61728/61728	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:31%20GMT	https://www.proformanceroofs.com/who-we-are/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/who-we-are/index.html	(from https://www.proformanceroofs.com/)
10:29:34	50100/50100	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:31%20GMT	https://www.proformanceroofs.com/roofing-services/re-roofing/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/re-roofing/index.html	(from https://www.proformanceroofs.com/)
10:29:35	3527/3527	---M-Z	200	added ('OK')	image/svg+xml	etag:%22af2693d86d29d51:0%22	https://www.proformanceroofs.com/includes/flair.svg	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/includes/flair.svg	(from https://www.proformanceroofs.com/)
10:29:35	50387/50387	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/roofing-services/new-construction/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/new-construction/index.html	(from https://www.proformanceroofs.com/)
